uniprot_id,gene
Q9NYY3,PLK2
A0A0B4J2F2,SIK1B
Q00535,CDK5
P52564,MAP2K6
P11309,PIM1
Q9H2K8,TAOK3
P68400,CSNK2A1
Q15835,GRK1
P08581,MET
P57078,RIPK4
Q00537,CDK17
Q5VT25,CDC42BPA
P20594,NPR2
O00750,PIK3C2B
Q9UHY1,NRBP1
Q5T9C9,PIP5KL1
Q7RTN6,STRADA
P53667,LIMK1
Q01974,ROR2
P11362,FGFR1
Q13153,PAK1
Q16512,PKN1
Q16644,MAPKAPK3
O43930,PRKY
Q9NZJ5,EIF2AK3
Q13233,MAP3K1
Q8IZL9,CDK20
Q9NYV4,CDK12
Q14012,CAMK1
P53350,PLK1
P53779,MAPK10
P42679,MATK
P07948,LYN
P49840,GSK3A
Q13164,MAPK7
Q96PN8,TSSK3
Q92519,TRIB2
Q15139,PRKD1
Q8NG66,NEK11
Q9UPZ9,CILK1
Q6J9G0,STYK1
Q13554,CAMK2B
P45984,MAPK9
Q9UBS0,RPS6KB2
Q9H4A3,WNK1
O43293,DAPK3
P16234,PDGFRA
P24941,CDK2
Q52WX2,SBK1
P07947,YES1
Q9H8X2,IPPK
Q5S007,LRRK2
Q8IV63,VRK3
O75582,RPS6KA5
Q99640,PKMYT1
Q99570,PIK3R4
Q13177,PAK2
Q13418,ILK
Q13523,PRPF4B
P49336,CDK8
O00311,CDC7
P23443,RPS6KB1
Q5TCY1,TTBK1
Q8WTQ7,GRK7
Q05823,RNASEL
Q16584,MAP3K11
P80192,MAP3K9
Q9Y6R4,MAP3K4
P30291,WEE1
Q16288,NTRK3
Q6P3R8,NEK5
P22694,PRKACB
Q16816,PHKG1
P37173,TGFBR2
Q5TCX8,MAP3K21
Q14164,IKBKE
P54762,EPHB1
O15530,PDPK1
Q15349,RPS6KA2
O43283,MAP3K13
Q9C0K7,STRADB
Q8WZ42,TTN
Q16539,MAPK14
O60229,KALRN
P36897,TGFBR1
P06241,FYN
P42680,TEC
Q05397,PTK2
Q6DT37,CDC42BPG
P36896,ACVR1B
Q00534,CDK6
Q96RU7,TRIB3
P06213,INSR
P21860,ERBB3
P45983,MAPK8
O43187,IRAK2
O94806,PRKD3
Q6PHR2,ULK3
P31749,AKT1
Q9Y4K4,MAP4K5
Q9H5K3,POMK
P08631,HCK
Q8N5S9,CAMKK1
Q6ZN16,MAP3K15
P53778,MAPK12
Q8IWU2,LMTK2
Q14004,CDK13
Q6XUX3,DSTYK
Q9NSY1,BMP2K
P54646,PRKAA2
Q96S38,RPS6KC1
Q9H1R3,MYLK2
Q04912,MST1R
P42356,PI4KA
Q9NRM7,LATS2
Q9UK32,RPS6KA6
P42345,MTOR
O15197,EPHB6
Q13557,CAMK2D
O15075,DCLK1
P35916,FLT4
Q9HBU6,ETNK1
P51812,RPS6KA3
Q07002,CDK18
O75962,TRIO
Q9Y6S9,RPS6KL1
Q6IQ55,TTBK2
P51813,BMX
O75747,PIK3C2G
Q07912,TNK2
O00238,BMPR1B
P51617,IRAK1
Q8IVT5,KSR1
Q15303,ERBB4
Q9P0L2,MARK1
P23458,JAK1
Q9Y6M4,CSNK1G3
Q12851,MAP4K2
Q8WXR4,MYO3B
Q9NWZ3,IRAK4
Q96PC2,IP6K3
Q9UQB9,AURKC
P30530,AXL
P29597,TYK2
Q496M5,PLK5
Q2M2I8,AAK1
Q13188,STK3
O60307,MAST3
O96013,PAK4
Q96QT4,TRPM7
Q7L7X3,TAOK1
P07332,FES
Q96J92,WNK4
O94921,CDK14
Q9BX84,TRPM6
P36894,BMPR1A
Q9NRH2,SNRK
Q9NY57,STK32B
Q8NFD2,ANKK1
Q08881,ITK
Q6ZWH5,NEK10
P42336,PIK3CA
Q504Y2,PKDCC
Q8IXL6,FAM20C
Q9Y2I7,PIKFYVE
Q96KB5,PBK
Q9UM73,ALK
Q9BYT3,STK33
Q01973,ROR1
Q8IWQ3,BRSK2
Q9UF33,EPHA6
Q96Q15,SMG1
Q86TW2,ADCK1
P19525,EIF2AK2
O96017,CHEK2
Q02763,TEK
Q9Y6E0,STK24
Q8IW41,MAPKAPK5
P49137,MAPKAPK2
Q9BXM7,PINK1
Q14289,PTK2B
Q96Q04,LMTK3
P27448,MARK3
O15111,CHUK
P51955,NEK2
P31751,AKT2
Q8IZE3,SCYL3
Q9UQ88,CDK11A
Q15772,SPEG
Q9Y463,DYRK1B
Q92772,CDKL2
P34925,RYK
P06493,CDK1
Q8NB16,MLKL
P35968,KDR
Q9UL54,TAOK2
Q9H0K1,SIK2
Q9H792,PEAK1
Q38SD2,LRRK1
Q9HBY8,SGK2
Q5JZY3,EPHA10
Q8IYT8,ULK2
Q96PY6,NEK1
P23677,ITPKA
Q5MAI5,CDKL4
Q8N568,DCLK2
P08922,ROS1
O60674,JAK2
P42681,TXK
Q86V86,PIM3
P0C1S8,WEE2
P50613,CDK7
Q04771,ACVR1
Q96S53,TESK2
Q9BRS2,RIOK1
