gene,mimNumber,preferredTitle
CDK5,123831,CYCLIN-DEPENDENT KINASE 5; CDK5
CSNK2A1,115440,"CASEIN KINASE II, ALPHA-1; CSNK2A1"
GRK1,180381,G PROTEIN-COUPLED RECEPTOR KINASE 1; GRK1
MET,164860,"MET PROTOONCOGENE, RECEPTOR TYROSINE KINASE; MET"
RIPK4,605706,RECEPTOR-INTERACTING SERINE-THREONINE KINASE 4; RIPK4
NPR2,607072,"NPR2-LIKE PROTEIN, GATOR1 COMPLEX SUBUNIT; NPRL2"
STRADA,608626,STE20-RELATED KINASE ADAPTOR ALPHA; STRADA
ROR2,602337,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 2; ROR2
FGFR1,136350,FIBROBLAST GROWTH FACTOR RECEPTOR 1; FGFR1
PAK1,602590,p21 PROTEIN-ACTIVATED KINASE 1; PAK1
MAPKAPK3,602130,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 3; MAPKAPK3
EIF2AK3,604032,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 3; EIF2AK3
MAPK10,602897,MITOGEN-ACTIVATED PROTEIN KINASE 10; MAPK10
LYN,165120,"LYN PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; LYN"
PRKD1,605435,PROTEIN KINASE D1; PRKD1
CILK1,612325,INTESTINAL CELL KINASE; ICK
CAMK2B,607707,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-BETA; CAMK2B
WNK1,605232,"PROTEIN KINASE, LYSINE-DEFICIENT 1; WNK1"
PDGFRA,173490,"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, ALPHA; PDGFRA"
LRRK2,609007,LEUCINE-RICH REPEAT KINASE 2; LRRK2
PIK3R4,602610,"PHOSPHATIDYLINOSITOL 3-KINASE, REGULATORY SUBUNIT 4; PIK3R4"
PAK2,605022,p21 PROTEIN-ACTIVATED KINASE 2; PAK2
ILK,602366,INTEGRIN-LINKED KINASE; ILK
CDK8,603184,CYCLIN-DEPENDENT KINASE 8; CDK8
RNASEL,180435,RIBONUCLEASE L; RNASEL
PRKACB,176892,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, BETA; PRKACB"
TGFBR2,190182,"TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE II; TGFBR2"
TTN,188840,TITIN; TTN
KALRN,604605,KALIRIN; KALRN
TGFBR1,190181,"TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I; TGFBR1"
ACVR1B,601300,"ACTIVIN A RECEPTOR, TYPE IB; ACVR1B"
CDK6,603368,CYCLIN-DEPENDENT KINASE 6; CDK6
INSR,147670,INSULIN RECEPTOR; INSR
ERBB3,190151,ERB-B2 RECEPTOR TYROSINE KINASE 3; ERBB3
AKT1,164730,AKT SERINE/THREONINE KINASE 1; AKT1
POMK,615247,PROTEIN-O-MANNOSE KINASE; POMK
HCK,142370,"HCK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; HCK"
CDK13,603309,CYCLIN-DEPENDENT KINASE 13; CDK13
DSTYK,612666,DUAL SERINE/THREONINE AND TYROSINE PROTEIN KINASE; DSTYK
MYLK2,606566,MYOSIN LIGHT CHAIN KINASE 2; MYLK2
MST1R,600168,MACROPHAGE STIMULATING 1 RECEPTOR; MST1R
PI4KA,600286,"PHOSPHATIDYLINOSITOL 4-KINASE, ALPHA; PI4KA"
MTOR,601231,MECHANISTIC TARGET OF RAPAMYCIN; MTOR
FLT4,136352,FMS-LIKE TYROSINE KINASE 4; FLT4
RPS6KA3,300075,RIBOSOMAL PROTEIN S6 KINASE A3; RPS6KA3
TRIO,609761,TRIO- AND F-ACTIN-BINDING PROTEIN; TRIOBP
TTBK2,611695,TAU TUBULIN KINASE 2; TTBK2
TNK2,606994,"TYROSINE KINASE, NONRECEPTOR, 2; TNK2"
BMPR1B,603248,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IB; BMPR1B"
ERBB4,600543,ERB-B2 RECEPTOR TYROSINE KINASE 4; ERBB4
