gene,mimNumber,preferredTitle,uniprot_id
PLK2,607023,POLO-LIKE KINASE 2; PLK2,Q9NYY3
SIK1B,Not Found,Not Found,
MAP2K6,601254,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 6; MAP2K6,P52564
PIM1,164960,ONCOGENE PIM 1; PIM1,P11309
TAOK3,616711,TAO KINASE 3; TAOK3,Q9H2K8
CDK17,603440,CYCLIN-DEPENDENT KINASE 17; CDK17,Q00537
CDC42BPA,603412,"CDC42-BINDING PROTEIN KINASE, ALPHA; CDC42BPA",Q5VT25
PIK3C2B,602838,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, BETA; PIK3C2B",O00750
NRBP1,606010,NUCLEAR RECEPTOR-BINDING PROTEIN 1; NRBP1,Q9UHY1
PIP5KL1,612865,PHOSPHATIDYLINOSITOL 4-PHOSPHATE-5-KINASE-LIKE 1; PIP5KL1,Q5T9C9
LIMK1,601329,LIM DOMAIN KINASE 1; LIMK1,P53667
PKN1,601032,PROTEIN KINASE N1; PKN1,Q16512
PRKY,400008,"PROTEIN KINASE, Y-LINKED; PRKY",O43930
MAP3K1,613762,"46,XY SEX REVERSAL 6; SRXY6",Q13233
CDK20,610076,CYCLIN-DEPENDENT KINASE 20; CDK20,Q8IZL9
CDK12,615514,CYCLIN-DEPENDENT KINASE 12; CDK12,Q9NYV4
CAMK1,604998,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE I; CAMK1,Q14012
PLK1,602098,POLO-LIKE KINASE 1; PLK1,P53350
MATK,600038,MEGAKARYOCYTE-ASSOCIATED TYROSINE KINASE; MATK,P42679
GSK3A,606784,GLYCOGEN SYNTHASE KINASE 3-ALPHA; GSK3A,P49840
MAPK7,602521,MITOGEN-ACTIVATED PROTEIN KINASE 7; MAPK7,Q13164
TSSK3,607660,TESTIS-SPECIFIC SERINE/THREONINE KINASE 3; TSSK3,Q96PN8
TRIB2,609462,TRIBBLES PSEUDOKINASE 2; TRIB2,Q92519
NEK11,609779,NIMA-RELATED KINASE 11; NEK11,Q8NG66
STYK1,611433,SERINE/THREONINE/TYROSINE KINASE 1; STYK1,Q6J9G0
MAPK9,602896,MITOGEN-ACTIVATED PROTEIN KINASE 9; MAPK9,P45984
RPS6KB2,608939,RIBOSOMAL PROTEIN S6 KINASE B2; RPS6KB2,Q9UBS0
DAPK3,603289,DEATH-ASSOCIATED PROTEIN KINASE 3; DAPK3,O43293
CDK2,116953,CYCLIN-DEPENDENT KINASE 2; CDK2,P24941
SBK1,620212,SH3 DOMAIN-BINDING KINASE 1; SBK1,Q52WX2
YES1,164880,V-YES-1 YAMAGUCHI SARCOMA VIRAL ONCOGENE; YES1,P07947
IPPK,619043,INOSITOL-PENTAKISPHOSPHATE 2-KINASE; IPPK,Q9H8X2
VRK3,619771,VRK SERINE/THREONINE KINASE 3; VRK3,Q8IV63
RPS6KA5,603607,RIBOSOMAL PROTEIN S6 KINASE A5; RPS6KA5,O75582
PKMYT1,602474,"PROTEIN KINASE, MEMBRANE-ASSOCIATED TYROSINE/THREONINE, 1; PKMYT1",Q99640
PRPF4B,602338,PRE-mRNA-PROCESSING FACTOR 4B; PRPF4B,Q13523
CDC7,603311,CELL DIVISION CYCLE 7; CDC7,O00311
RPS6KB1,608938,RIBOSOMAL PROTEIN S6 KINASE B1; RPS6KB1,P23443
TTBK1,619415,TAU TUBULIN KINASE 1; TTBK1,Q5TCY1
GRK7,606987,G PROTEIN-COUPLED RECEPTOR KINASE 7; GRK7,Q8WTQ7
MAP3K11,600050,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11; MAP3K11,Q16584
MAP3K9,600136,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 9; MAP3K9,P80192
MAP3K4,602425,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4; MAP3K4,Q9Y6R4
WEE1,193525,WEE1 G2 CHECKPOINT KINASE; WEE1,P30291
NTRK3,191316,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 3; NTRK3",Q16288
NEK5,616731,NIMA-RELATED KINASE 5; NEK5,
PHKG1,172470,"PHOSPHORYLASE KINASE, MUSCLE, GAMMA-1; PHKG1",Q16816
MAP3K21,614793,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 21; MAP3K21,Q5TCX8
IKBKE,605048,"INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE, SUBUNIT EPSILON; IKBKE",Q14164
EPHB1,600600,EPHRIN RECEPTOR EphB1; EPHB1,P54762
PDPK1,605213,3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1; PDPK1,O15530
RPS6KA2,601685,RIBOSOMAL PROTEIN S6 KINASE A2; RPS6KA2,Q15349
MAP3K13,604915,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13; MAP3K13,O43283
STRADB,607333,STE20-RELATED KINASE ADAPTOR BETA; STRADB,Q9C0K7
MAPK14,600289,MITOGEN-ACTIVATED PROTEIN KINASE 14; MAPK14,Q16539
FYN,137025,"FYN PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; FYN",P06241
TEC,600583,TEC PROTEIN TYROSINE KINASE; TEC,P42680
PTK2,600758,"PROTEIN-TYROSINE KINASE, CYTOPLASMIC; PTK2",Q05397
CDC42BPG,613991,"CDC42-BINDING PROTEIN KINASE, GAMMA; CDC42BPG",Q6DT37
TRIB3,607898,TRIBBLES PSEUDOKINASE 3; TRIB3,Q96RU7
MAPK8,601158,MITOGEN-ACTIVATED PROTEIN KINASE 8; MAPK8,P45983
IRAK2,603304,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 2; IRAK2,O43187
PRKD3,607077,"PROTEIN KINASE C, NU; PRKCN",O94806
ULK3,613472,UNC51-LIKE KINASE 3; ULK3,Q6PHR2
MAP4K5,604923,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5; MAP4K5,Q9Y4K4
CAMKK1,611411,"CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 1, ALPHA; CAMKK1",Q8N5S9
MAP3K15,300820,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 15; MAP3K15,Q6ZN16
MAPK12,602399,MITOGEN-ACTIVATED PROTEIN KINASE 12; MAPK12,P53778
LMTK2,610989,LEMUR TYROSINE KINASE 2; LMTK2,Q8IWU2
BMP2K,617648,BMP2-INDUCIBLE KINASE; BMP2K,Q9NSY1
PRKAA2,600497,"PROTEIN KINASE, AMP-ACTIVATED, CATALYTIC, ALPHA-2; PRKAA2",P54646
RPS6KC1,617517,RIBOSOMAL PROTEIN S6 KINASE C1; RPS6KC1,Q96S38
LATS2,604861,LARGE TUMOR SUPPRESSOR KINASE 2; LATS2,Q9NRM7
RPS6KA6,300303,RIBOSOMAL PROTEIN S6 KINASE A6; RPS6KA6,Q9UK32
EPHB6,602757,EPHRIN RECEPTOR EphB6; EPHB6,O15197
CAMK2D,607708,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-DELTA; CAMK2D,Q13557
DCLK1,604742,DOUBLECORTIN-LIKE KINASE 1; DCLK1,O15075
ETNK1,609858,ETHANOLAMINE KINASE 1; ETNK1,Q9HBU6
CDK18,169190,CYCLIN-DEPENDENT KINASE 18; CDK18,Q07002
RPS6KL1,Not Found,Not Found,
BMX,300101,"BONE MARROW KINASE, X-LINKED; BMX",P51813
PIK3C2G,609001,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, GAMMA; PIK3C2G",O75747
IRAK1,300283,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 1; IRAK1,P51617
KSR1,601132,KINASE SUPPRESSOR OF RAS 1; KSR1,Q8IVT5
MARK1,606511,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 1; MARK1,Q9P0L2
CSNK1G3,604253,"CASEIN KINASE I, GAMMA-3; CSNK1G3",Q9Y6M4
MAP4K2,603166,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2; MAP4K2,Q12851
MYO3B,610040,MYOSIN IIIB; MYO3B,Q8WXR4
IP6K3,606993,INOSITOL HEXAPHOSPHATE KINASE 3; IP6K3,Q96PC2
AXL,109135,AXL RECEPTOR TYROSINE KINASE; AXL,P30530
PLK5,Not Found,Not Found,
AAK1,616405,ADAPTOR PROTEIN 2-ASSOCIATED KINASE 1; AAK1,Q2M2I8
STK3,605030,SERINE/THREONINE PROTEIN KINASE 3; STK3,Q13188
PAK4,605451,p21 PROTEIN-ACTIVATED KINASE 4; PAK4,O96013
FES,190030,"FES PROTOONCOGENE, TYROSINE KINASE; FES",P07332
CDK14,610679,CYCLIN-DEPENDENT KINASE 14; CDK14,O94921
SNRK,612760,SNF-RELATED KINASE; SNRK,Q9NRH2
STK32B,119530,OROFACIAL CLEFT 1; OFC1,
PBK,611210,PDZ-BINDING KINASE; PBK,Q96KB5
BRSK2,609236,BR SERINE/THREONINE KINASE 2; BRSK2,Q8IWQ3
EPHA6,600066,EPHRIN RECEPTOR EphA6; EPHA6,Q9UF33
SMG1,607032,SMG1 NONSENSE-MEDIATED mRNA DECAY-ASSOCIATED PI3K-RELATED KINASE; SMG1,Q96Q15
ADCK1,620399,AARF DOMAIN-CONTAINING KINASE 1; ADCK1,Q86TW2
STK24,604984,SERINE/THREONINE PROTEIN KINASE 24; STK24,Q9Y6E0
MAPKAPK2,602006,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 2; MAPKAPK2,P49137
PTK2B,601212,"PROTEIN-TYROSINE KINASE 2, BETA; PTK2B",Q14289
LMTK3,619624,LEMUR TYROSINE KINASE 3; LMTK3,Q96Q04
SCYL3,608192,SCY1-LIKE PROTEIN 3; SCYL3,Q8IZE3
CDK11A,116951,CYCLIN-DEPENDENT KINASE 11A; CDK11A,Q9UQ88
CDKL2,603442,CYCLIN-DEPENDENT KINASE-LIKE 2; CDKL2,Q92772
RYK,600524,RYK RECEPTOR-LIKE TYROSINE KINASE; RYK,P34925
CDK1,116940,CYCLIN-DEPENDENT KINASE 1; CDK1,P06493
MLKL,615153,MIXED LINEAGE KINASE DOMAIN-LIKE PROTEIN; MLKL,Q8NB16
TAOK2,613199,TAO KINASE 2; TAOK2,Q9UL54
SIK2,608973,SALT-INDUCIBLE KINASE 2; SIK2,Q9H0K1
PEAK1,614248,PSEUDOPODIUM-ENRICHED ATYPICAL KINASE 1,Q9H792
SGK2,607589,SERUM/GLUCOCORTICOID-REGULATED KINASE 2; SGK2,Q9HBY8
ULK2,608650,UNC51-LIKE AUTOPHAGY-ACTIVATING KINASE 2; ULK2,Q8IYT8
ITPKA,147521,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE A; ITPKA",P23677
CDKL4,Not Found,Not Found,
DCLK2,613166,DOUBLECORTIN-LIKE KINASE 2; DCLK2,Q8N568
ROS1,165020,"ROS PROTOONCOGENE 1, RECEPTOR TYROSINE KINASE; ROS1",P08922
TXK,600058,PROTEIN TYROSINE KINASE TXK; TXK,P42681
PIM3,610580,ONCOGENE PIM3; PIM3,Q86V86
CDK7,601955,CYCLIN-DEPENDENT KINASE 7; CDK7,P50613
TESK2,604746,TESTIS-ASSOCIATED ACTIN-MODELING KINASE 2; TESK2,Q96S53
RIOK1,617753,RIO KINASE 1; RIOK1,Q9BRS2
CDK9,603251,CYCLIN-DEPENDENT KINASE 9; CDK9,P50750
ACVR2A,102581,"ACTIVIN A RECEPTOR, TYPE IIA; ACVR2A",P27037
EPHA8,176945,EPHRIN RECEPTOR EphA8; EPHA8,P29322
DDR1,600408,"DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 1; DDR1",Q08345
FLT1,165070,FMS-RELATED TYROSINE KINASE 1; FLT1,P17948
ARAF,311010,"ARAF PROTOONCOGENE, SERINE/THREONINE KINASE; ARAF",P10398
NEK7,606848,NIMA-RELATED KINASE 7; NEK7,Q8TDX7
AATK,605276,APOPTOSIS-ASSOCIATED TYROSINE KINASE; AATK,Q6ZMQ8
SRPK2,602980,SRSF PROTEIN KINASE 2; SRPK2,P78362
MAPK15,618616,MITOGEN-ACTIVATED PROTEIN KINASE 15; MAPK15,Q8TD08
GSK3B,605004,GLYCOGEN SYNTHASE KINASE 3-BETA; GSK3B,P49841
MARK2,600526,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 2; MARK2,Q7KZI7
PASK,607505,PAS DOMAIN-CONTAINING SERINE/THREONINE KINASE; PASK,Q96RG2
STK32A,Not Found,Not Found,
CAMKV,614993,CAM KINASE-LIKE VESICLE-ASSOCIATED; CAMKV,Q8NCB2
MAPK11,602898,MITOGEN-ACTIVATED PROTEIN KINASE 11; MAPK11,Q15759
DYRK4,609181,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 4; DYRK4,Q9NR20
PIM2,300295,"PIM2 PROTOONCOGENE, SERINE/THREONINE KINASE; PIM2",Q9P1W9
MKNK1,606724,MITOGEN-ACTIVATED PROTEIN KINASE-INTERACTING SERINE/THREONINE KINASE 1; MKNK1,Q9BUB5
IP6K1,606991,INOSITOL HEXAPHOSPHATE KINASE 1; IP6K1,Q92551
KSR2,610737,KINASE SUPPRESSOR OF RAS 2; KSR2,Q6VAB6
DCLK3,613167,DOUBLECORTIN-LIKE KINASE 3; DCLK3,Q9C098
RSKR,Not Found,Not Found,
DYRK2,603496,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 2; DYRK2,Q92630
MAPK4,176949,MITOGEN-ACTIVATED PROTEIN KINASE 4; MAPK4,P31152
CDK16,311550,CYCLIN-DEPENDENT KINASE 16; CDK16,Q00536
STK16,604719,SERINE/THREONINE PROTEIN KINASE 16; STK16,O75716
PAK5,608038,p21 PROTEIN-ACTIVATED KINASE 5; PAK5,Q9P286
ETNK2,609859,ETHANOLAMINE KINASE 2; ETNK2,Q9NVF9
PI4K2B,612101,"PHOSPHATIDYLINOSITOL 4-KINASE, TYPE 2, BETA; PI4K2B",Q8TCG2
FAM20B,611063,FAM20B GLYCOSAMINOGLYCAN XYLOSYLKINASE; FAM20B,O75063
TESK1,601782,TESTIS-ASSOCIATED ACTIN-MODELING KINASE 1; TESK1,Q15569
ULK1,603168,UNC51-LIKE AUTOPHAGY-ACTIVATING KINASE 1; ULK1,O75385
PDPK2P,Not Found,Not Found,
ADCK5,Not Found,Not Found,
PSKH1,177015,PROTEIN SERINE KINASE H1; PSKH1,P11801
LIMK2,601988,LIM DOMAIN KINASE 2; LIMK2,P53671
VRK2,602169,VRK SERINE/THREONINE KINASE 2; VRK2,Q86Y07
STK38,606964,SERINE/THREONINE PROTEIN KINASE 38; STK38,Q15208
PAN3,617448,PABP-DEPENDENT POLY(A) NUCLEASE 3; PAN3,Q58A45
CSNK2A3,Not Found,Not Found,
