gene,mimNumber,preferredTitle
PLK2,607023,POLO-LIKE KINASE 2; PLK2
SIK1B,Not Found,Not Found
CDK5,123831,CYCLIN-DEPENDENT KINASE 5; CDK5
MAP2K6,601254,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 6; MAP2K6
PIM1,164960,ONCOGENE PIM 1; PIM1
TAOK3,616711,TAO KINASE 3; TAOK3
CSNK2A1,115440,"CASEIN KINASE II, ALPHA-1; CSNK2A1"
GRK1,180381,G PROTEIN-COUPLED RECEPTOR KINASE 1; GRK1
MET,164860,"MET PROTOONCOGENE, RECEPTOR TYROSINE KINASE; MET"
RIPK4,605706,RECEPTOR-INTERACTING SERINE-THREONINE KINASE 4; RIPK4
CDK17,603440,CYCLIN-DEPENDENT KINASE 17; CDK17
CDC42BPA,603412,"CDC42-BINDING PROTEIN KINASE, ALPHA; CDC42BPA"
NPR2,607072,"NPR2-LIKE PROTEIN, GATOR1 COMPLEX SUBUNIT; NPRL2"
PIK3C2B,602838,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, BETA; PIK3C2B"
NRBP1,606010,NUCLEAR RECEPTOR-BINDING PROTEIN 1; NRBP1
PIP5KL1,612865,PHOSPHATIDYLINOSITOL 4-PHOSPHATE-5-KINASE-LIKE 1; PIP5KL1
STRADA,608626,STE20-RELATED KINASE ADAPTOR ALPHA; STRADA
LIMK1,601329,LIM DOMAIN KINASE 1; LIMK1
ROR2,602337,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 2; ROR2
FGFR1,136350,FIBROBLAST GROWTH FACTOR RECEPTOR 1; FGFR1
PAK1,602590,p21 PROTEIN-ACTIVATED KINASE 1; PAK1
PKN1,601032,PROTEIN KINASE N1; PKN1
MAPKAPK3,602130,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 3; MAPKAPK3
PRKY,400008,"PROTEIN KINASE, Y-LINKED; PRKY"
EIF2AK3,604032,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 3; EIF2AK3
MAP3K1,613762,"46,XY SEX REVERSAL 6; SRXY6"
CDK20,610076,CYCLIN-DEPENDENT KINASE 20; CDK20
CDK12,615514,CYCLIN-DEPENDENT KINASE 12; CDK12
CAMK1,604998,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE I; CAMK1
PLK1,602098,POLO-LIKE KINASE 1; PLK1
MAPK10,602897,MITOGEN-ACTIVATED PROTEIN KINASE 10; MAPK10
MATK,600038,MEGAKARYOCYTE-ASSOCIATED TYROSINE KINASE; MATK
LYN,165120,"LYN PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; LYN"
GSK3A,606784,GLYCOGEN SYNTHASE KINASE 3-ALPHA; GSK3A
MAPK7,602521,MITOGEN-ACTIVATED PROTEIN KINASE 7; MAPK7
TSSK3,607660,TESTIS-SPECIFIC SERINE/THREONINE KINASE 3; TSSK3
TRIB2,609462,TRIBBLES PSEUDOKINASE 2; TRIB2
