omim_id,uniprot_id
615567,Q96D53
602610,Q99570
300075,P51812
612395,Q9Y259
603078,O14757
600221,Q02763
604556,Q9Y463
190181,P36897
601263,P36507
607347,Q96QP1
606102,O60331
164760,P04049
600179,Q02846
176943,P21802
190090,P12931
612258,O60307
176975,Q02156
176977,Q05655
142370,P08631
600664,O15111
123829,P11802
600456,Q16620
114080,Q16566
131550,P00533
176980,P05129
600997,P29323
610986,Q38SD2
614062,Q9Y5S2
602366,Q13418
603248,O00238
606566,Q9H1R3
154235,P20794
300358,Q9BYP7
615247,Q9H5K3
607707,Q13554
600085,P43405
612256,Q9Y2H9
134934,P22607
600855,Q13627
173410,P09619
608626,Q7RTN6
190060,P00540
601591,Q13237
190151,P21860
614084,P0C1S8
609479,Q9NYL2
602452,O43683
602678,P27448
602337,Q01974
603368,Q00534
608616,Q5VST9
188840,Q8WZ42
176941,P29597
610266,Q7L7X3
603015,Q9Y4A5
605792,Q8IWB6
176947,P43403
605031,O00444
176871,P19525
176946,P29317
603464,Q15131
600899,P78527
600799,Q13873
164730,P31749
191315,P04629
602860,O60566
605437,P24723
605022,Q13177
190182,P37173
153390,P06239
176872,Q02750
615950,Q15772
603453,Q13546
604666,O95819
147370,P08069
604605,O60229
176892,P22694
164731,P31751
602168,Q99986
300172,O14936
602216,Q15831
607652,Q9NRP7
172471,P15735
173490,P16234
603495,Q9UQB9
186973,Q08881
608221,Q96GX5
604043,P51955
601844,Q96J92
603309,Q14004
609761,Q9H2D6
600956,Q16671
617608,Q96L96
608131,Q9H093
603258,O14920
608309,Q9BXM7
600011,P54760
118491,P35790
605435,Q15139
605692,Q96QT4
176894,Q13976
600173,P52333
607009,Q9BX84
601231,P42345
164761,P07949
605705,P57059
611123,Q5JZY3
618530,Q8NE28
176948,P28482
606994,Q07912
612666,Q6XUX3
164757,P15056
608774,Q8NFD2
136352,P35916
603184,P49336
601299,P36894
176893,P22612
601232,P48736
603072,O14965
616365,Q6P3W7
600543,Q15303
602336,Q01973
147795,P23458
601215,Q13535
603601,O00443
614150,Q504Y2
602839,O00329
601284,P37023
604655,Q99558
607670,Q9BYT3
600168,Q04912
601330,P25092
611062,Q96MK3
123831,Q00535
164870,P04626
612325,Q9UPZ9
300203,O76039
602758,Q9UBF8
609280,Q9P2K8
147796,O60674
604705,Q12866
609007,Q5S007
605232,Q9H4A3
611223,Q9Y243
605706,P57078
608439,Q86UE8
607591,Q96BR1
600286,P42356
600922,Q15746
191306,P35968
614776,Q9Y2K2
191305,P51451
606723,Q8IW41
